gml_id,tur,ad,geojson
bursa_park.42,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.98218479,40.197131645],[28.982650523,40.19755594],[28.982765174,40.197458527],[28.982399078,40.19699146],[28.98218479,40.197131645]]]]}"
bursa_park.43,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.982142856,40.197065509],[28.982351972,40.196930367],[28.982097009,40.196520604],[28.981740332,40.196645209],[28.982142856,40.197065509]]]]}"
bursa_park.44,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.985589091,40.197242334],[28.985564295,40.197207248],[28.985104424,40.197196013],[28.984571473,40.197249414],[28.984523426,40.197300071],[28.984559177,40.197481637],[28.985243487,40.197464827],[28.985551479,40.19745727],[28.985589091,40.197242334]]]]}"
bursa_park.45,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.986807682,40.194157789],[28.987090845,40.194210247],[28.987102195,40.194205123],[28.987126734,40.194165894],[28.986876575,40.19395514],[28.986861258,40.193958608],[28.986800348,40.194145567],[28.986807682,40.194157789]]]]}"
bursa_park.46,PARK,ESENEVLER SPOR ÇOCUK OYUN VE DINLENME PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.147357144,40.192699756],[29.147411612,40.193080011],[29.147429506,40.193204931],[29.147871397,40.193007327],[29.147781011,40.192813262],[29.14770564,40.192651435],[29.14766121,40.192655569],[29.147361397,40.192683468],[29.147354898,40.192684073],[29.147357144,40.192699756]]]]}"
bursa_park.47,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.110476603,40.179851359],[29.110478805,40.179706084],[29.110258866,40.179678507],[29.11025291,40.179708828],[29.110118064,40.17967982],[29.110028635,40.179760634],[29.110110068,40.179777882],[29.11024053,40.179806567],[29.110270983,40.179812345],[29.110476603,40.179851359]]]]}"
bursa_park.48,PARK,ÖĞRETMENLER SEVGI PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.177517544,40.200248025],[29.177554566,40.200274082],[29.178007915,40.199989267],[29.178316694,40.199926975],[29.178843337,40.19991065],[29.178923742,40.199590226],[29.178889469,40.199491106],[29.178718549,40.199422541],[29.17828564,40.199406572],[29.177517544,40.200248025]]]]}"
bursa_park.49,PARK,KAYI PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.097517832,40.17602423],[29.097526203,40.176056971],[29.097555717,40.17617241],[29.097556725,40.176175167],[29.097558289,40.176177767],[29.097560371,40.176180143],[29.097562916,40.176182237],[29.097565863,40.176183994],[29.097569136,40.176185372],[29.097572651,40.176186334],[29.097576321,40.176186856],[29.097580052,40.176186926],[29.097583751,40.176186541],[29.097587323,40.176185712],[29.097914338,40.176087409],[29.097930231,40.176082631],[29.097933713,40.17608132],[29.097936867,40.176079587],[29.097939605,40.176077481],[29.097941853,40.176075057],[29.097943551,40.176072381],[29.097944652,40.176069529],[29.097945125,40.176066576],[29.097944957,40.176063603],[29.097944155,40.176060692],[29.097942739,40.176057923],[29.097940747,40.176055369],[29.097938235,40.176053103],[29.09793527,40.176051184],[29.097931933,40.176049666],[29.097928318,40.176048591],[29.097592062,40.175972384],[29.097582242,40.175970844],[29.097572223,40.175970606],[29.097562298,40.17597168],[29.097552755,40.175974035],[29.097543875,40.1759776],[29.097535913,40.175982272],[29.097529105,40.175987915],[29.097523648,40.175994365],[29.0975197,40.176001432],[29.097517379,40.176008912],[29.09751675,40.176016586],[29.097517832,40.17602423]]]]}"
bursa_park.50,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.097587675,40.176478771],[29.09753954,40.176294887],[29.09713023,40.176341487],[29.096999521,40.176356367],[29.096979397,40.176671984],[29.097130521,40.17670465],[29.097222704,40.17672516],[29.097350399,40.176753569],[29.097354385,40.176754175],[29.097358448,40.176754244],[29.097362465,40.176753776],[29.097366317,40.176752783],[29.097369888,40.176751295],[29.097373072,40.176749356],[29.097375771,40.176747027],[29.09756674,40.176550276],[29.097579263,40.176534076],[29.09758712,40.176516232],[29.097589964,40.176497523],[29.097587675,40.176478771]]]]}"
bursa_park.94,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.991907524,40.217338816],[28.992040415,40.21725888],[28.991896719,40.217077053],[28.99172737,40.217174943],[28.991907524,40.217338816]]]]}"
